0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
